Hebius frenatum	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	frenatum	DUNN	1923		No	No
Hebius groundwateri	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	groundwateri	SMITH	1922	Groundwater's Keelback	No	No
Hebius inas	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	inas	LAIDLAW	1901	Malayan Mountain Keelback	No	No
Hebius ishigakiense	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	ishigakiense	MALNATE & MUNSTERMAN	1960	Yaeyama keelback	No	No
Hebius johannis	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	johannis	BOULENGER	1908	Johann's Keelback	No	No
Hebius khasiense	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	khasiense	BOULENGER	1890	Khasi Hills Keelback	No	No
Hebius metusium	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	metusium	INGER, ZHAO, SHAFFER & WU	1990	Wa Shan Keelback	No	No
Hebius miyajimae	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	miyajimae	MAKI	1931	Maki's Keelback	No	No
Hebius modestum	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	modestum	GNTHER	1875	Modest Keelback	No	No
Hebius monticola	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	monticola	JERDON	1853	Wynad Keelback	No	No
Hebius nicobariense	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	nicobariense	SCLATER	1891	Nicobar Island Keelback	No	No
Hebius octolineatum	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	octolineatum	BOULENGER	1904	Eight-lined Keelback	No	No
Hebius optatum	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	optatum	HU & ZHAO	1966	Mount Omei Keelback	No	No
Hebius parallelum	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	parallelum	BOULENGER	1890	Yunnan Keelback	No	No
Hebius pealii	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	pealii	SCLATER	1891	Assam Keelback	No	No
Hebius petersii	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	petersii	BOULENGER	1893	Peters' Keelback	No	No
Herpetoreas platyceps	Natricidae, Colubroidea, Serpentes (snakes)	Herpetoreas	platyceps	BLYTH	1854	Himalayan Keelback	No	No
