Atractaspis aterrima	Senegal
Atractaspis aterrima	Guinea
Atractaspis aterrima	Benin
Atractaspis aterrima	Togo
Atractaspis aterrima	Sierra Leone
Atractaspis aterrima	Central African Republic
Atractaspis aterrima	Republic of the Congo
Atractaspis aterrima	Guinea-Bissau
Atractaspis bibronii	Democratic Republic of the Congo
Atractaspis bibronii	South Africa
Atractaspis bibronii	Tanzania
Atractaspis bibronii	Kenya
Atractaspis bibronii	Mozambique
Atractaspis bibronii	Angola
Atractaspis bibronii	Malawi
Atractaspis bibronii	Zambia
Atractaspis bibronii	Zimbabwe
Atractaspis bibronii	Somalia
Atractaspis bibronii	Republic of the Congo
Atractaspis bibronii	Namibia
Atractaspis bibronii	Botswana
Atractaspis bibronii	Swaziland
Atractaspis boulengeri	Democratic Republic of the Congo
Atractaspis boulengeri	Cameroon
Atractaspis boulengeri	Central African Republic
Atractaspis boulengeri	Republic of the Congo
Atractaspis boulengeri	Gabon
Atractaspis congica	Democratic Republic of the Congo
Atractaspis congica	Angola
Atractaspis congica	Cameroon
Atractaspis congica	Zambia
Atractaspis congica	Republic of the Congo
Atractaspis congica	Namibia
Atractaspis congica	Botswana
Atractaspis corpulenta	Democratic Republic of the Congo
Atractaspis corpulenta	Ghana
Atractaspis corpulenta	Cameroon
Atractaspis corpulenta	Ivory Coast
Atractaspis corpulenta	Sierra Leone
Atractaspis corpulenta	Central African Republic
Atractaspis corpulenta	Republic of the Congo
Atractaspis corpulenta	Liberia
Atractaspis corpulenta	Gabon
Atractaspis dahomeyensis	Nigeria
Atractaspis dahomeyensis	Ghana
Atractaspis dahomeyensis	Cameroon
Atractaspis dahomeyensis	Ivory Coast
Atractaspis dahomeyensis	Niger
Atractaspis dahomeyensis	Burkina Faso
Atractaspis dahomeyensis	Mali
Atractaspis dahomeyensis	Guinea
Atractaspis dahomeyensis	Benin
Atractaspis dahomeyensis	Togo
Atractaspis dahomeyensis	Sierra Leone
Atractaspis duerdeni	South Africa
Atractaspis duerdeni	Namibia
Atractaspis duerdeni	Botswana
Atractaspis engaddensis	Saudi Arabia
Atractaspis engaddensis	Jordan
Atractaspis engaddensis	Israel
Atractaspis engaddensis	Lebanon
Atractaspis engdahli	Kenya
Atractaspis engdahli	Somalia
Atractaspis fallax	Ethiopia
Atractaspis fallax	Tanzania
Atractaspis fallax	Kenya
Atractaspis fallax	Somalia
Atractaspis irregularis	Nigeria
Atractaspis irregularis	Ethiopia
Atractaspis irregularis	Democratic Republic of the Congo
Atractaspis irregularis	Tanzania
Atractaspis irregularis	Kenya
Atractaspis irregularis	Sudan
Atractaspis irregularis	Uganda
Atractaspis irregularis	Ghana
Atractaspis irregularis	Angola
Atractaspis irregularis	Cameroon
Atractaspis irregularis	Ivory Coast
Atractaspis irregularis	Niger
Atractaspis irregularis	Guinea
Atractaspis irregularis	Rwanda
Atractaspis irregularis	Benin
Atractaspis irregularis	Burundi
Atractaspis irregularis	Togo
Atractaspis irregularis	Eritrea
Atractaspis irregularis	Central African Republic
Atractaspis irregularis	Republic of the Congo
Atractaspis irregularis	Liberia
Atractaspis irregularis	Gabon
Atractaspis irregularis	Equatorial Guinea
Atractaspis leucomelas	Ethiopia
Atractaspis leucomelas	Somalia
Atractaspis microlepidota	Mali
Atractaspis microlepidota	Senegal
Atractaspis microlepidota	Mauritania
Atractaspis micropholis	Nigeria
Atractaspis micropholis	Niger
Atractaspis micropholis	Burkina Faso
Atractaspis reticulata	Democratic Republic of the Congo
Atractaspis reticulata	Cameroon
Atractaspis reticulata	Central African Republic
Atractaspis reticulata	Republic of the Congo
Atractaspis reticulata	Gabon
Atractaspis scorteccii	Ethiopia
Atractaspis scorteccii	Somalia
Atractus albuquerquei	Brazil
Atractus albuquerquei	Guam
Atractus alphonsehogei	Brazil
Atractus andinus	Colombia
Atractus arangoi	Colombia
Atractus badius	Brazil
Atractus badius	Colombia
Atractus badius	Peru
Atractus badius	Ecuador
Atractus badius	Guyana
Atractus badius	Suriname
Atractus balzani	Bolivia
Atractus biseriatus	Colombia
Atractus bocki	Argentina
Atractus bocki	Bolivia
Atractus bocourti	Colombia
Atractus bocourti	Peru
Atractus bocourti	Ecuador
Atractus boettgeri	Bolivia
Atractus boulengerii	Colombia
Atractus carrioni	Ecuador
Atractus clarki	Colombia
Atractus clarki	Panama
Atractus collaris	Colombia
Atractus collaris	Peru
Atractus collaris	Ecuador
Atractus crassicaudatus	Colombia
Atractus crassicaudatus	Panama
Atractus duidensis	Venezuela
Atractus dunni	Ecuador
Atractus ecuadorensis	Ecuador
Atractus elaps	Brazil
Atractus elaps	Colombia
Atractus elaps	Peru
Atractus elaps	Venezuela
Atractus elaps	Ecuador
Atractus elaps	Bolivia
Atractus emigdioi	Venezuela
Atractus emmeli	Peru
Atractus emmeli	Bolivia
Atractus erythromelas	Colombia
Atractus erythromelas	Venezuela
Atractus favae	Guyana
Atractus flammigerus	Brazil
Atractus flammigerus	Peru
Atractus flammigerus	Suriname
Atractus fuliginosus	Venezuela
Atractus gaigeae	Peru
Atractus gaigeae	Ecuador
Atractus guentheri	Brazil
Atractus indistinctus	Colombia
Atractus insipidus	Brazil
Atractus insipidus	Venezuela
Atractus iridescens	Colombia
Atractus lancinii	Venezuela
Atractus lasallei	Colombia
Atractus latifrons	Brazil
Atractus latifrons	Colombia
Atractus latifrons	Peru
Atractus latifrons	Bolivia
Atractus latifrons	Suriname
Atractus lehmanni	Colombia
Atractus lehmanni	Ecuador
Atractus limitaneus	Colombia
Atractus loveridgei	Colombia
Atractus maculatus	Brazil
Atractus major	Brazil
Atractus major	Colombia
Atractus major	Peru
Atractus major	Venezuela
Atractus major	Ecuador
Atractus manizalesensis	Colombia
Atractus mariselae	Venezuela
Atractus melanogaster	Colombia
Atractus melas	Colombia
Atractus microrhynchus	Ecuador
Atractus modestus	Peru
Atractus modestus	Ecuador
Atractus multicinctus	Colombia
Atractus multicinctus	Ecuador
Atractus nicefori	Colombia
Atractus nigricaudus	Peru
Atractus nigriventris	Colombia
Atractus obesus	Colombia
Atractus obtusirostris	Colombia
Atractus occidentalis	Ecuador
Atractus occipitoalbus	Colombia
Atractus occipitoalbus	Peru
Atractus occipitoalbus	Ecuador
Atractus occipitoalbus	Bolivia
